NAME            READY   STATUS    RESTARTS   AGE   IP                NODE          NOMINATED NODE   READINESS GATES
client          1/1     Running   0          18m   192.168.131.125   ubuntu-2204   <none>           <none>
server-source   1/1     Running   0          30m   192.168.131.96    ubuntu-2204   <none>           <none>
server-restore   0/1     Pending   0          0s    <none>            <none>        <none>           <none>
server-restore   0/1     Pending   0          0s    <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerCreating   0          0s    <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerCreating   0          1s    <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     ErrImagePull        0          1s    192.168.131.77    ubuntu-2204   <none>           <none>
server-restore   0/1     ImagePullBackOff    0          2s    192.168.131.77    ubuntu-2204   <none>           <none>
server-restore   0/1     ErrImagePull        0          28s   192.168.131.77    ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating         0          28s   192.168.131.77    ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating         0          28s   192.168.131.77    ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating         0          28s   192.168.131.77    ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating         0          29s   192.168.131.77    ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerStatusUnknown   0          29s   192.168.131.77    ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerStatusUnknown   0          29s   192.168.131.77    ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerStatusUnknown   0          29s   192.168.131.77    ubuntu-2204   <none>           <none>
server-restore   0/1     Pending                  0          0s    <none>            <none>        <none>           <none>
server-restore   0/1     Pending                  0          0s    <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerCreating        0          0s    <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerCreating        0          0s    <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     ErrImagePull             0          1s    192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     ImagePullBackOff         0          2s    192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     ErrImagePull             0          28s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     ImagePullBackOff         0          41s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     ErrImagePull             0          52s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     ImagePullBackOff         0          64s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     ErrImagePull             0          106s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     ImagePullBackOff         0          2m     192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating              0          3m2s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating              0          3m2s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating              0          3m2s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating              0          3m2s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerStatusUnknown   0          3m2s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerStatusUnknown   0          3m2s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerStatusUnknown   0          3m2s   192.168.131.104   ubuntu-2204   <none>           <none>
server-restore   0/1     Pending                  0          0s     <none>            <none>        <none>           <none>
server-restore   0/1     Pending                  0          0s     <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerCreating        0          0s     <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerCreating        0          0s     <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     ErrImagePull             0          1s     192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     ImagePullBackOff         0          2s     192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     ErrImagePull             0          27s    192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     ImagePullBackOff         0          41s    192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     ErrImagePull             0          55s    192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     ImagePullBackOff         0          67s    192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     ErrImagePull             0          109s   192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating              0          117s   192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating              0          117s   192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating              0          117s   192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     Terminating              0          117s   192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerStatusUnknown   0          118s   192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerStatusUnknown   0          118s   192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerStatusUnknown   0          118s   192.168.131.65    ubuntu-2204   <none>           <none>
server-restore   0/1     Pending                  0          0s     <none>            <none>        <none>           <none>
server-restore   0/1     Pending                  0          0s     <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerCreating        0          0s     <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     ContainerCreating        0          0s     <none>            ubuntu-2204   <none>           <none>
server-restore   0/1     Running                  0          1s     192.168.131.94    ubuntu-2204   <none>           <none>
server-restore   1/1     Running                  0          1s     192.168.131.94    ubuntu-2204   <none>           <none>
server-source    1/1     Running                  0          48m    192.168.131.96    ubuntu-2204   <none>           <none>
curl-test        0/1     Pending                  0          0s     <none>            <none>        <none>           <none>
curl-test        0/1     Pending                  0          0s     <none>            ubuntu-2204   <none>           <none>
curl-test        0/1     ContainerCreating        0          0s     <none>            ubuntu-2204   <none>           <none>
curl-test        0/1     ContainerCreating        0          0s     <none>            ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          1s     192.168.131.88    ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.88    ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.88    ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.88    ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.88    ubuntu-2204   <none>           <none>
curl-test        0/1     Pending                  0          0s     <none>            <none>        <none>           <none>
curl-test        0/1     Pending                  0          0s     <none>            ubuntu-2204   <none>           <none>
curl-test        0/1     ContainerCreating        0          0s     <none>            ubuntu-2204   <none>           <none>
curl-test        0/1     ContainerCreating        0          1s     <none>            ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          1s     192.168.131.106   ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.106   ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.106   ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.106   ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.106   ubuntu-2204   <none>           <none>
server-source    1/1     Terminating              0          51m    192.168.131.96    ubuntu-2204   <none>           <none>
server-source    1/1     Terminating              0          51m    192.168.131.96    ubuntu-2204   <none>           <none>
server-source    1/1     Terminating              0          51m    192.168.131.96    ubuntu-2204   <none>           <none>
server-source    0/1     Error                    0          51m    192.168.131.96    ubuntu-2204   <none>           <none>
server-source    0/1     Error                    0          51m    192.168.131.96    ubuntu-2204   <none>           <none>
server-source    0/1     Error                    0          51m    192.168.131.96    ubuntu-2204   <none>           <none>
curl-test        0/1     Pending                  0          0s     <none>            <none>        <none>           <none>
curl-test        0/1     Pending                  0          0s     <none>            ubuntu-2204   <none>           <none>
curl-test        0/1     ContainerCreating        0          0s     <none>            ubuntu-2204   <none>           <none>
curl-test        0/1     ContainerCreating        0          0s     <none>            ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          1s     192.168.131.120   ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.120   ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.120   ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.120   ubuntu-2204   <none>           <none>
curl-test        0/1     Completed                0          2s     192.168.131.120   ubuntu-2204   <none>           <none>
